,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.55]","([0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
2,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.72]","([-0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",UpSide
3,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.09]","([0.0, 0.0, -0.0], [0.0, -0.0, 0.0])",DownSide
4,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.94]","([-0.06, -0.02, -0.0], [0.48, -1.96, -0.18])",UpSide
5,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.82]","([0.0, 0.0, 0.0], [0.0, 0.0, -0.0])",DownSide
6,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.64]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",DownSide
7,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.69]","([-0.09, -0.06, -0.0], [1.87, -2.56, -0.57])",DownSide
8,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.91]","([0.0, 0.0, 0.0], [-0.0, 0.0, -0.0])",DownSide
9,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.6]","([-0.06, 0.02, -0.0], [-0.57, -1.89, -0.17])",DownSide
10,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.25]","([0.06, 0.09, -0.0], [-2.56, 1.75, -0.55])",UpSide
11,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.6]","([-0.06, 0.03, -0.0], [-1.01, -1.76, 0.18])",UpSide
12,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.75]","([-0.0, -0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
13,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.45]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
14,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.09]","([0.06, 0.0, -0.0], [-0.0, 1.76, -0.13])",DownSide
15,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.46]","([0.13, -0.01, 0.01], [0.13, 3.52, 0.73])",DownSide
16,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.2]","([-0.06, -0.07, -0.0], [1.98, -1.8, 0.36])",UpSide
17,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.72]","([0.01, 0.04, -0.0], [-1.15, 0.28, -0.06])",DownSide
18,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.11]","([0.0, -0.0, -0.0], [-0.0, -0.0, 0.0])",DownSide
19,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.52]","([-0.1, -0.07, -0.01], [1.91, -2.84, -0.69])",DownSide
20,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.97]","([-0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",DownSide
21,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.11]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",UpSide
22,0.5,0.1,0.2,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.31]","([0.0, -0.0, 0.0], [0.0, -0.0, 0.0])",UpSide
