,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.66]","([0.09, 0.09, 0.01], [-4.22, 5.31, -3.15])",DownSide
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.71]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.67]","([-0.0, -0.0, -0.0], [0.0, -0.0, -0.0])",UpSide
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.68]","([-0.0, -0.0, -0.0], [-0.0, -0.0, 0.0])",DownSide
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.42]","([-0.0, 0.0, -0.0], [-0.0, -0.0, 0.0])",UpSide
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.38]","([0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",DownSide
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.95]","([0.09, -0.07, -0.02], [4.53, 5.26, -3.86])",DownSide
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.12]","([-0.04, 0.03, -0.0], [-2.29, -3.34, -1.53])",DownSide
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.0]","([-0.0, 0.0, 0.0], [-0.0, -0.0, -0.0])",DownSide
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.94]","([-0.05, 0.09, -0.01], [-5.45, -3.15, 2.97])",DownSide
11,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.69]","([-0.0, 0.05, -0.01], [-4.54, -0.68, -1.86])",UpSide
12,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.39]","([-0.04, -0.04, 0.01], [3.87, -2.64, 1.9])",UpSide
13,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.56]","([0.04, 0.01, -0.01], [-1.26, 3.52, 1.36])",UpSide
14,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.92]","([1.71, 0.06, -0.01], [-0.38, 12.83, 0.0])",SideSurface
15,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.6]","([0.02, 0.09, -0.03], [-5.5, 1.91, 2.6])",UpSide
16,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.28]","([-0.0, 0.0, -0.0], [-0.0, -0.0, 0.0])",UpSide
17,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.94]","([-0.0, 0.0, 0.0], [-0.0, -0.0, 0.0])",UpSide
18,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.58]","([0.05, -0.09, -0.13], [-2.87, 4.39, -5.13])",UpSide
19,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.0]","([0.41, -2.57, -0.0], [18.67, 3.0, -5.34])",DownSide
20,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.83]","([-0.13, 1.27, -0.0], [-9.57, -1.04, -0.01])",SideSurface
21,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.99]","([-0.0, 0.0, -0.0], [-0.0, -0.0, 0.0])",DownSide
22,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.82]","([-0.0, -0.0, 0.0], [0.0, -0.0, 0.0])",DownSide
23,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.76]","([-0.0, -0.0, 0.0], [0.0, -0.0, -0.0])",SideSurface
24,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.02]","([-0.0, -0.0, 0.0], [0.0, -0.0, -0.0])",UpSide
25,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.73]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
26,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.05]","([-0.05, -0.01, -0.01], [1.48, -5.07, -2.49])",DownSide
27,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.55]","([-0.0, 0.0, -0.0], [-0.0, -0.0, 0.0])",DownSide
28,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.76]","([0.05, -0.08, -0.02], [5.08, 3.64, -3.17])",DownSide
29,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.4]","([-0.04, -0.02, -0.01], [1.33, -3.21, -1.22])",UpSide
30,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.06]","([0.02, 0.01, -0.0], [-1.08, 2.22, -0.78])",UpSide
31,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.97]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
32,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.77]","([-0.0, 0.0, 0.0], [-0.0, -0.0, -0.0])",SideSurface
33,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.19]","([-0.04, 0.08, 0.0], [-4.45, -3.31, 2.34])",DownSide
34,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.7]","([0.0, -0.0, -0.0], [0.0, 0.0, 0.0])",DownSide
35,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.72]","([-0.0, -0.0, 0.0], [0.0, -0.0, -0.0])",DownSide
36,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.45]","([0.02, 0.0, -0.0], [-0.25, 2.22, -0.68])",DownSide
37,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.28]","([-0.02, 0.02, -0.0], [-1.57, -2.15, 0.87])",UpSide
38,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.24]","([-1.7, -0.25, 0.0], [1.78, -12.1, -4.15])",DownSide
39,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.13]","([0.89, 1.04, -0.01], [-7.87, 6.63, 0.0])",SideSurface
40,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.66]","([0.12, -0.19, 0.17], [8.47, -0.27, -5.28])",DownSide
41,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.69]","([0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",UpSide
42,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.85]","([-0.05, 0.11, -0.14], [-5.97, 2.27, 3.95])",DownSide
43,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.27]","([-0.0, -0.0, -0.0], [0.0, -0.0, -0.0])",DownSide
44,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.38]","([0.0, -0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
45,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.38]","([-1.88, -0.84, -0.01], [6.41, -14.09, -0.01])",SideSurface
46,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.59]","([0.04, 0.03, -0.01], [-1.94, 3.87, 1.72])",DownSide
47,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.3]","([-0.0, -0.0, -0.0], [0.0, -0.0, -0.0])",UpSide
48,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.35]","([-0.6, 3.02, 0.0], [-22.74, -4.55, 0.01])",SideSurface
49,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.54]","([0.2, 0.74, 0.06], [2.7, 0.23, 0.0])",DownSide
50,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.99]","([-0.97, -0.62, -0.0], [4.69, -7.26, -0.0])",SideSurface
