,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.83]","([0.0, 0.0, -0.0], [0.0, 0.0, 0.0])",DownSide
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.64]","([-0.09, 0.35, -0.14], [-0.45, -4.54, -11.52])",DownSide
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.91]","([-0.3, 0.06, -0.22], [0.75, -9.81, -6.52])",DownSide
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.49]","([1.23, 0.05, -0.0], [-0.42, 9.21, -0.0])",SideSurface
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.44]","([0.38, -0.15, -0.2], [6.24, 1.49, 11.33])",DownSide
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.4]","([0.02, 0.01, -0.0], [-0.67, 2.11, -0.68])",UpSide
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.51]","([-1.45, -1.48, 0.02], [11.09, -10.86, -1.84])",SideSurface
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.25]","([-0.02, -0.03, -0.0], [2.78, -1.55, 1.1])",DownSide
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.37]","([0.0, 0.0, 0.0], [-0.0, -0.0, 0.0])",DownSide
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.72]","([0.04, 0.08, 0.02], [-5.69, 1.06, 2.58])",DownSide
