,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.29]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.1]","([-0.0, 0.0, -0.0], [-0.0, -0.0, 0.0])",DownSide
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.38]","([0.85, 1.23, 0.0], [-9.23, 6.37, -0.01])",SideSurface
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.31]","([-0.15, 0.19, 0.03], [-6.32, -6.77, 4.5])",DownSide
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.03]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",DownSide
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.47]","([0.0, -0.0, 0.0], [-0.0, -0.0, 0.0])",UpSide
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.77]","([-0.0, 0.0, -0.0], [-0.0, -0.0, 0.0])",UpSide
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.05]","([0.0, -0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.4]","([-0.02, -0.05, -0.04], [5.56, -0.09, -3.09])",DownSide
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.88]","([-0.82, -0.35, -0.0], [2.7, -6.17, -0.01])",SideSurface
11,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.28]","([0.0, -0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
12,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.52]","([-0.0, -0.0, -0.0], [-0.0, -0.0, -0.0])",UpSide
13,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.96]","([-0.0, -0.04, -0.01], [3.53, -0.35, -1.25])",DownSide
14,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.19]","([-0.0, -0.0, 0.0], [0.0, -0.0, -0.0])",DownSide
15,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.43]","([-0.0, -0.0, -0.0], [-0.0, -0.0, 0.0])",DownSide
16,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.88]","([0.0, -0.0, 0.0], [0.0, 0.0, -0.0])",UpSide
17,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.16]","([-0.06, 0.0, -0.01], [-0.27, -4.72, -1.85])",UpSide
18,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.52]","([0.0, 0.0, 0.0], [-0.01, 0.01, 0.0])",UpSide
19,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.87]","([-0.0, -0.0, -0.0], [0.0, -0.0, -0.0])",UpSide
20,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.6]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
21,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.23]","([0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
22,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.43]","([0.01, 0.08, 0.01], [-5.51, 1.96, -2.9])",UpSide
23,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.39]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",DownSide
24,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.51]","([1.71, 0.79, -0.01], [-6.05, 12.85, -0.01])",SideSurface
25,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.09]","([-0.04, -0.11, -0.1], [4.25, -5.14, 4.09])",DownSide
26,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.65]","([-0.44, 2.86, 0.01], [-21.54, -3.32, -0.01])",SideSurface
27,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.96]","([-0.08, 1.16, 0.0], [-8.7, -0.59, -0.0])",SideSurface
28,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.08]","([-0.0, -0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
29,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.47]","([-0.03, -0.01, -0.0], [0.59, -2.83, 0.95])",UpSide
30,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.32]","([0.03, 0.02, -0.0], [-1.38, 2.66, -1.0])",UpSide
31,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.01]","([0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",UpSide
32,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.43]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",DownSide
33,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.06]","([-0.0, 0.0, -0.0], [0.0, -0.0, -0.0])",UpSide
34,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.36]","([0.0, 0.0, 0.0], [-0.0, 0.0, -0.0])",SideSurface
35,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.44]","([0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",UpSide
36,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.03]","([-0.03, 0.03, -0.0], [-3.61, -3.22, -2.24])",DownSide
37,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.15]","([-0.0, 0.0, -0.0], [0.0, -0.0, 0.0])",DownSide
38,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.15]","([0.0, -0.0, -0.0], [0.0, -0.0, -0.0])",DownSide
39,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.56]","([0.0, -0.0, 0.0], [0.0, -0.0, -0.0])",DownSide
40,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.08]","([-1.71, 0.52, 0.0], [-3.9, -12.84, 0.01])",SideSurface
41,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.35]","([0.0, 0.0, 0.0], [-0.0, -0.0, 0.0])",DownSide
42,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.18]","([0.04, 0.06, -0.01], [-4.51, 2.87, 2.33])",UpSide
43,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.4]","([-0.04, -0.03, -0.01], [2.44, -3.58, 1.74])",UpSide
44,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.54]","([0.09, 0.46, -0.0], [-3.48, 0.67, -0.0])",SideSurface
45,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.64]","([-0.02, -0.05, -0.01], [4.02, -1.61, 1.67])",UpSide
46,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.2]","([0.02, -1.53, 0.0], [11.51, 0.17, -0.0])",SideSurface
47,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.49]","([-1.42, -1.22, 0.0], [9.16, -10.68, -0.0])",SideSurface
48,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.58]","([0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",UpSide
49,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.27]","([0.06, 0.13, 0.13], [-2.41, 6.49, -3.94])",DownSide
50,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.8]","([-0.0, 0.0, -0.0], [0.0, 0.0, 0.0])",DownSide
51,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.84]","([-0.0, -0.0, -0.0], [-0.0, -0.0, 0.0])",UpSide
52,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.13]","([0.06, -0.04, 0.04], [5.12, 2.43, -2.84])",UpSide
53,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.38]","([0.05, 0.09, -0.04], [-4.72, 3.96, 2.74])",UpSide
54,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.82]","([2.48, 0.09, 0.01], [-0.71, 18.63, 0.01])",SideSurface
55,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.75]","([-0.0, -0.0, -0.0], [0.0, -0.0, -0.0])",DownSide
56,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.42]","([0.13, -0.07, -0.13], [-4.51, 0.94, -6.8])",DownSide
57,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.93]","([0.08, 0.08, -0.0], [-4.16, 4.96, -2.97])",UpSide
58,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.79]","([0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
59,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.93]","([0.04, 0.01, -0.01], [-0.87, 4.59, -2.07])",UpSide
60,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.74]","([0.77, -1.93, 0.0], [14.48, 5.78, 0.01])",SideSurface
61,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.31]","([-0.0, 0.0, -0.0], [0.0, -0.0, 0.0])",DownSide
62,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.47]","([0.0, 0.0, 0.0], [-0.0, 0.0, 0.0])",DownSide
63,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.01]","([-0.0, -0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
64,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.04]","([0.01, 0.0, 0.01], [-5.26, 0.38, 3.6])",UpSide
65,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.34]","([0.3, -0.09, -0.3], [-2.91, 8.74, -6.15])",UpSide
66,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.07]","([-0.0, -0.0, -0.0], [-0.0, -0.0, 0.0])",DownSide
67,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.73]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
68,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.62]","([-0.0, -0.0, 0.0], [-0.0, -0.0, 0.0])",UpSide
69,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.05]","([2.12, -1.26, -0.0], [8.21, 13.86, -8.9])",DownSide
70,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.62]","([-0.95, 1.35, 0.01], [-10.15, -7.15, -0.01])",SideSurface
71,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.76]","([-1.41, 2.42, -0.0], [-18.18, -10.59, 0.0])",SideSurface
72,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.26]","([-0.23, 0.22, 0.16], [0.02, -5.85, 8.7])",UpSide
73,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.38]","([-0.05, 0.03, -0.0], [-2.22, -4.57, 2.22])",DownSide
74,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.48]","([-0.03, 0.01, -0.0], [-1.16, -2.48, 0.89])",DownSide
75,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.73]","([1.4, 0.09, 0.0], [-0.66, 10.49, -0.0])",SideSurface
76,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.4]","([0.04, 0.01, -0.01], [-1.28, 3.12, 1.18])",DownSide
77,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.31]","([-0.0, 0.0, 0.0], [-0.0, -0.0, -0.0])",SideSurface
78,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.06]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
79,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.63]","([1.49, 0.43, -0.0], [-3.26, 11.22, -0.01])",SideSurface
80,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.17]","([0.03, -0.03, -0.01], [2.92, 2.35, 1.38])",UpSide
81,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.52]","([1.09, 1.05, 0.0], [-7.9, 8.17, 0.0])",SideSurface
82,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.11]","([0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
83,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.49]","([-0.44, 2.04, 0.01], [-15.3, -3.31, 0.01])",SideSurface
84,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.27]","([0.04, 0.08, -0.06], [-5.86, 0.07, -2.81])",DownSide
85,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.03]","([-0.91, 1.28, 0.01], [-9.61, -6.83, 0.01])",SideSurface
86,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.48]","([-0.0, 0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
87,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.54]","([-0.0, -0.0, 0.0], [0.0, -0.0, -0.0])",SideSurface
