,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.07]","([0.02, -0.02, -0.0], [1.91, 2.01, 0.92])",DownSide
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.82]","([-0.0, 0.0, -0.0], [0.0, 0.0, 0.0])",DownSide
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.54]","([0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.69]","([-0.01, -0.03, -0.0], [2.54, -1.18, -0.93])",DownSide
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.74]","([-0.04, 0.5, -0.01], [-3.75, -0.36, -0.0])",SideSurface
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.65]","([-0.39, 1.63, 0.01], [-12.24, -2.94, -0.01])",SideSurface
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.57]","([-1.58, -0.97, 0.0], [7.29, -11.88, -0.01])",SideSurface
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.4]","([-1.33, 1.2, -0.0], [-9.02, -9.97, 0.0])",SideSurface
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.74]","([-0.0, -0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.07]","([0.0, 0.0, 0.0], [0.0, 0.0, 0.0])",DownSide
