,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.88]","([0.52, 0.91, -0.01], [-6.0, 3.46, -2.79])",UpSide
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.92]","([0.0, -0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.66]","([0.28, -0.18, -0.01], [1.22, 2.19, 0.0])",SideSurface
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.72]","([0.01, -0.04, -0.01], [3.24, 0.42, -1.11])",DownSide
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.79]","([0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",UpSide
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.13]","([-2.05, 1.68, 0.01], [-12.66, -15.45, 0.01])",SideSurface
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.61]","([-0.02, -0.01, -0.0], [0.58, -1.98, 0.63])",DownSide
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.65]","([-0.95, 1.99, -0.01], [-14.98, -7.05, 0.0])",SideSurface
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.07]","([-0.0, -0.05, -0.01], [4.45, -0.49, 1.84])",DownSide
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.97]","([0.07, -0.05, -0.01], [2.98, 4.92, 2.52])",UpSide
11,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.67]","([-0.72, 2.05, -0.01], [-15.35, -5.49, -0.0])",SideSurface
12,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.11]","([-0.02, -0.03, -0.0], [2.16, -1.91, -0.97])",UpSide
13,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.37]","([0.04, -0.01, -0.01], [2.03, 4.86, 2.7])",DownSide
14,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.06]","([-0.27, -1.25, 0.01], [9.38, -2.0, 0.01])",SideSurface
15,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.68]","([2.07, -0.39, -0.0], [2.96, 15.53, 0.01])",SideSurface
16,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.05]","([-0.3, 0.11, 0.0], [-0.8, -2.24, -0.0])",SideSurface
17,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.51]","([-0.32, -1.81, 0.0], [13.62, -2.4, -0.0])",SideSurface
18,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.82]","([1.05, 2.63, -0.0], [-16.31, 6.49, 11.77])",UpSide
19,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.26]","([-0.08, 0.15, -0.1], [-4.79, -5.66, -3.56])",DownSide
20,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.35]","([0.2, -0.01, -0.04], [0.79, 8.2, 3.74])",UpSide
21,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.96]","([0.03, 0.01, -0.0], [-1.3, 5.47, -3.54])",DownSide
22,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.73]","([-0.02, 0.03, -0.0], [-2.69, -1.51, 1.05])",UpSide
23,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.7]","([0.0, -0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
24,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.48]","([0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",DownSide
25,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.25]","([-0.03, -0.04, -0.01], [3.78, -2.05, 1.65])",DownSide
26,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.42]","([0.0, -0.0, 0.0], [0.0, 0.0, 0.0])",DownSide
27,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.27]","([-2.0, -0.47, 0.0], [3.49, -15.05, 0.01])",SideSurface
28,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.43]","([-0.0, -0.0, 0.0], [0.01, -0.01, 0.0])",DownSide
29,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.22]","([0.08, -1.08, 0.01], [8.13, 0.57, -0.0])",SideSurface
30,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.21]","([0.24, 0.22, -0.34], [2.76, 3.08, 3.07])",DownSide
31,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.57]","([0.46, -0.18, -0.0], [1.29, 3.46, 0.0])",SideSurface
32,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.56]","([0.8, 1.13, -0.01], [-8.54, 5.93, -0.0])",SideSurface
33,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.58]","([0.76, -0.48, -0.0], [3.59, 5.75, -0.0])",SideSurface
34,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.59]","([0.07, -0.02, 0.02], [3.28, 4.49, -2.61])",DownSide
35,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.53]","([-0.03, 0.04, -0.01], [-2.96, -2.69, 1.51])",DownSide
36,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.34]","([0.46, 0.93, 0.0], [-6.97, 3.47, 0.0])",SideSurface
37,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.59]","([-0.02, 0.01, -0.0], [-0.91, -2.05, -0.7])",DownSide
38,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.89]","([-0.19, -0.03, 0.01], [2.08, -7.93, 4.17])",DownSide
39,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.05]","([2.29, -1.23, 0.0], [9.19, 17.23, -0.01])",SideSurface
40,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.75]","([-0.0, 0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
41,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.62]","([1.15, -1.98, -0.01], [14.88, 8.7, -0.01])",SideSurface
42,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.84]","([0.03, -0.12, -0.01], [6.57, 1.87, 3.43])",DownSide
43,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.09]","([-0.0, 0.0, 0.0], [-0.0, -0.0, 0.0])",SideSurface
44,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.59]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",UpSide
45,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.29]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
46,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.23]","([0.02, -0.05, -0.01], [4.65, 1.33, -2.1])",UpSide
47,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.16]","([-0.0, -0.0, 0.0], [-0.0, 0.0, -0.0])",DownSide
