,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.64]","([-0.02, -0.02, -0.0], [1.67, -1.68, 0.76])",UpSide
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.5]","([2.96, -0.32, -0.0], [2.41, 22.27, 0.01])",SideSurface
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.13]","([-0.0, -0.0, 0.0], [0.01, -0.0, -0.0])",UpSide
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.99]","([0.02, -0.04, -0.01], [3.31, 1.31, -1.25])",UpSide
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.79]","([-0.12, -0.1, -0.15], [6.92, -0.92, -4.95])",DownSide
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.8]","([0.11, 0.12, 0.09], [-2.84, 7.22, -4.33])",UpSide
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.51]","([0.11, 0.1, 0.07], [-6.74, 3.09, 3.99])",UpSide
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.55]","([-0.04, 0.01, -0.01], [-0.85, -3.57, 1.32])",UpSide
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.88]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",DownSide
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.58]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
11,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.98]","([0.03, 0.24, 0.0], [1.33, -0.43, 12.52])",UpSide
12,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.5]","([-0.03, 0.01, -0.0], [-0.48, -2.48, 0.8])",UpSide
13,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.93]","([-0.04, 0.04, 0.01], [-2.08, -4.34, 2.02])",DownSide
14,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.58]","([0.06, 0.03, -0.0], [-0.2, 0.46, 0.0])",SideSurface
15,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.71]","([-0.0, 0.05, 0.02], [-4.83, 2.06, -2.63])",DownSide
16,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.12]","([0.01, -0.09, 0.12], [1.11, -6.08, -6.46])",DownSide
17,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.16]","([0.52, 0.1, -0.0], [-0.78, 3.93, -0.0])",SideSurface
18,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.23]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",UpSide
19,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.13]","([-0.0, 0.0, 0.0], [-0.0, -0.02, -0.0])",UpSide
20,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.23]","([-0.03, -0.05, 0.01], [4.88, -1.28, 2.13])",DownSide
21,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.79]","([0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",DownSide
22,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.78]","([-0.57, 0.14, 0.0], [-1.07, -4.32, -0.0])",SideSurface
23,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.67]","([0.06, -0.1, 0.07], [6.88, 0.45, -3.79])",DownSide
