,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.36]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",UpSide
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.19]","([-0.64, -0.87, 0.0], [6.68, -4.87, -2.85])",SideSurface
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.62]","([-0.03, 0.1, -0.13], [-4.87, 3.61, 4.03])",UpSide
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.49]","([-0.03, -0.04, 0.03], [2.24, -5.31, -3.41])",DownSide
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.2]","([0.04, 0.17, 0.11], [-5.72, 5.12, -4.15])",UpSide
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.35]","([-0.03, 0.05, -0.03], [-3.41, -3.6, -2.25])",DownSide
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.41]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",UpSide
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.89]","([0.0, 0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.98]","([-1.15, 2.42, -0.0], [-18.19, -8.69, -0.01])",SideSurface
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.43]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",UpSide
11,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.92]","([-0.05, 0.03, 0.02], [-0.67, -5.2, 2.51])",UpSide
12,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.89]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",UpSide
13,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.32]","([-0.02, 0.02, -0.0], [-1.72, -1.63, 0.76])",DownSide
14,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.33]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",DownSide
15,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.01]","([0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",DownSide
16,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.56]","([-0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",DownSide
17,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.72]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
18,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.53]","([-0.0, -0.0, 0.0], [0.0, 0.0, 0.0])",DownSide
19,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.11]","([-0.0, -0.0, 0.0], [0.0, -0.0, 0.0])",SideSurface
20,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.3]","([-0.49, 0.37, -0.01], [-2.81, -3.62, 0.0])",SideSurface
21,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.97]","([-0.42, 0.12, -0.18], [-3.99, -9.51, 7.05])",UpSide
22,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.78]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
23,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.4]","([-1.45, 0.33, 0.0], [-2.51, -10.93, -0.01])",SideSurface
24,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.53]","([0.05, -0.03, -0.02], [1.8, 4.67, -2.21])",UpSide
25,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.61]","([1.12, -1.45, -0.01], [10.93, 8.5, -2.55])",UpSide
26,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.99]","([0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",UpSide
27,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.53]","([0.03, 0.01, -0.0], [-0.83, 2.71, 0.94])",DownSide
28,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.6]","([-0.05, -0.02, -0.0], [0.87, -4.88, -2.17])",DownSide
29,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.94]","([0.01, -0.05, -0.03], [4.83, -0.69, 2.16])",DownSide
30,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.34]","([-0.02, 0.1, 0.07], [1.43, -4.84, 6.45])",UpSide
31,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.76]","([-0.02, 0.04, -0.01], [-3.49, -1.42, 1.38])",DownSide
32,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.33]","([-0.02, 0.05, -0.01], [-4.1, -1.66, 1.78])",UpSide
33,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.52]","([-0.0, 0.0, 0.0], [-0.0, -0.0, 0.0])",SideSurface
34,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.08]","([0.03, 0.04, 0.03], [-2.32, 5.15, -3.25])",UpSide
35,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.93]","([-0.04, -0.02, -0.0], [0.15, -0.33, 0.0])",SideSurface
36,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.71]","([0.0, -0.0, 0.0], [0.0, 0.0, 0.0])",UpSide
37,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.73]","([-0.0, -0.0, -0.0], [0.0, -0.0, -0.0])",UpSide
38,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.86]","([-0.0, 0.0, 0.0], [-0.0, -0.0, 0.0])",DownSide
39,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.47]","([0.06, 1.12, -0.0], [-8.44, 0.54, 0.0])",SideSurface
40,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.31]","([-0.0, 0.0, 0.0], [-0.0, -0.0, -0.0])",DownSide
41,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.05]","([-0.01, 0.01, -0.01], [-3.88, -3.32, -3.17])",UpSide
42,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.82]","([-0.07, -0.03, -0.01], [2.26, -4.86, -2.28])",UpSide
43,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.92]","([-0.44, -0.71, 0.0], [5.39, -3.29, -0.0])",SideSurface
44,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.83]","([-1.78, 0.13, -0.0], [-0.92, -13.35, -0.0])",SideSurface
45,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.07]","([0.24, 0.08, -0.32], [3.27, 7.32, 5.93])",DownSide
46,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.45]","([-2.74, 1.41, 0.0], [-10.6, -20.57, -0.01])",SideSurface
47,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.31]","([-0.38, 0.25, -0.05], [-6.59, -8.81, -7.24])",UpSide
48,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.44]","([-0.1, 1.64, -0.0], [-12.35, -0.82, -0.01])",SideSurface
49,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.22]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",DownSide
50,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.38]","([0.05, 0.01, -0.0], [-1.43, 3.84, 1.56])",DownSide
51,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.47]","([0.05, -0.05, 0.08], [5.06, -2.36, -3.57])",DownSide
52,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.73]","([0.0, 0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
53,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.84]","([0.03, 0.04, -0.01], [-3.33, 2.31, -1.54])",DownSide
54,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.31]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
55,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.9]","([0.4, -0.88, 0.0], [6.59, 3.04, 0.0])",SideSurface
56,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.27]","([-0.0, -0.0, 0.01], [0.06, -0.03, 0.0])",DownSide
57,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.08]","([0.35, 0.07, 0.0], [-0.55, 2.6, -0.0])",SideSurface
58,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.18]","([1.37, -1.27, -0.01], [9.61, 10.25, 0.0])",SideSurface
59,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.96]","([0.06, -0.06, -0.0], [3.78, 3.6, -2.11])",DownSide
60,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.07]","([0.12, 0.01, -0.15], [-5.65, 2.18, -6.08])",UpSide
61,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.04]","([0.92, -0.45, -0.0], [3.41, 6.86, 0.0])",SideSurface
