,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.93]","([-0.02, 0.02, -0.01], [-2.11, -2.04, 0.99])",DownSide
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.12]","([-0.0, 0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.84]","([-0.0, -0.0, -0.0], [-0.0, -0.0, 0.0])",DownSide
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.57]","([0.0, 0.0, 0.0], [-0.0, -0.0, -0.0])",UpSide
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.52]","([0.0, -0.0, -0.0], [0.0, 0.0, 0.0])",UpSide
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.83]","([1.72, -0.01, -0.0], [0.01, 12.95, -0.0])",SideSurface
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.75]","([-0.0, -0.0, 0.0], [0.0, -0.0, -0.0])",UpSide
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.69]","([-1.68, -2.55, -0.0], [15.84, -10.49, -12.63])",UpSide
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.33]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",DownSide
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.99]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",DownSide
