,radius,thickness,mass,restitution,lateralFriction,spinningFriction,rollingFriction,starPosition,starVelocity,side
1,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.61]","([-0.0, 0.0, 0.0], [-0.0, -0.0, -0.0])",SideSurface
2,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.14]","([-0.02, 0.04, -0.01], [-3.53, -2.01, 1.55])",UpSide
3,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.13]","([-0.02, 0.02, -0.0], [-1.8, -1.42, -0.73])",DownSide
4,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.04]","([-0.0, -0.0, 0.0], [0.0, 0.0, 0.0])",UpSide
5,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.15]","([0.01, -0.03, -0.01], [2.95, 0.68, -1.0])",UpSide
6,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.34]","([-0.03, -0.04, -0.01], [3.39, -2.63, 1.66])",DownSide
7,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.89]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
8,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.21]","([0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",UpSide
9,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.96]","([-0.0, 0.0, -0.0], [-0.0, -0.0, 0.0])",DownSide
10,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.34]","([0.0, -0.0, -0.0], [-0.0, 0.0, -0.0])",DownSide
11,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.68]","([-0.0, -0.0, -0.0], [-0.0, 0.0, 0.0])",UpSide
12,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.79]","([-0.0, -0.0, -0.0], [0.0, -0.0, 0.0])",UpSide
13,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.63]","([-0.0, -0.0, -0.0], [0.0, -0.0, -0.0])",DownSide
14,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.11]","([-0.01, -0.03, -0.0], [2.4, -0.54, 0.77])",DownSide
15,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.74]","([0.0, 0.0, -0.0], [-0.0, 0.0, 0.0])",DownSide
16,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.38]","([0.17, 0.13, 0.08], [2.9, 2.98, -7.95])",DownSide
17,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.85]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
18,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.32]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",DownSide
19,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.24]","([-0.03, -0.56, 0.08], [-3.31, -3.24, -1.5])",UpSide
20,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.71]","([0.05, 1.17, 0.0], [-8.82, 0.43, 0.0])",SideSurface
21,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.64]","([-0.03, 0.03, -0.01], [-3.09, -2.33, -1.44])",DownSide
22,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.78]","([-0.0, -0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
23,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.69]","([0.0, 0.0, 0.0], [-0.0, 0.0, -0.0])",UpSide
24,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.63]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",DownSide
25,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.73]","([-0.04, -0.01, -0.01], [0.54, -3.43, 1.21])",UpSide
26,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.64]","([0.02, 0.03, -0.03], [-2.87, 4.5, 3.15])",UpSide
27,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.7]","([0.09, 0.09, -0.08], [0.36, -3.31, -3.41])",DownSide
28,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.09]","([0.69, -2.99, -0.0], [22.59, 5.25, -2.11])",SideSurface
29,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.2]","([-0.0, -0.0, -0.0], [-0.0, 0.0, 0.0])",DownSide
30,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.68]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
31,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.99]","([-0.0, -0.0, 0.0], [0.0, 0.0, -0.0])",UpSide
32,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.32]","([0.0, 0.0, 0.0], [-0.0, 0.0, -0.0])",UpSide
33,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.4]","([0.83, 1.13, -0.0], [-8.46, 6.29, 0.0])",SideSurface
34,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.6]","([0.59, 2.32, -0.0], [-17.41, 4.5, 0.01])",SideSurface
35,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.08]","([-0.0, 0.0, 0.0], [-0.0, -0.0, 0.0])",SideSurface
36,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.95]","([1.62, 1.07, -0.0], [-8.05, 12.14, -0.01])",SideSurface
37,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.99]","([-0.0, 0.04, -0.01], [-3.5, -0.28, 1.23])",DownSide
38,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.97]","([1.97, 0.76, 0.01], [-5.7, 14.78, -0.01])",SideSurface
39,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.09]","([2.37, -0.52, -0.0], [3.95, 17.78, 0.01])",SideSurface
40,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.68]","([-1.46, -0.78, -0.0], [5.93, -10.96, -0.01])",SideSurface
41,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.9]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
42,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.76]","([-0.04, 0.04, -0.0], [-3.19, -3.46, 1.92])",DownSide
43,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.82]","([-2.9, -1.59, 0.0], [11.95, -21.81, 0.01])",SideSurface
44,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.93]","([-1.92, -0.75, 0.01], [5.63, -14.47, -0.01])",SideSurface
45,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.62]","([2.14, 0.79, -0.0], [-5.93, 15.88, -3.63])",DownSide
46,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.84]","([-0.13, 1.31, -0.01], [-9.83, -0.88, -0.0])",SideSurface
47,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.87]","([0.0, 0.0, 0.0], [-0.0, 0.0, -0.0])",SideSurface
48,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.81]","([0.02, 0.05, -0.05], [-5.44, -0.4, -2.91])",DownSide
49,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.21]","([-0.0, -0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
50,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.17]","([0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",DownSide
51,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.34]","([-0.01, -0.04, -0.01], [3.27, -0.6, -1.14])",UpSide
52,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.6]","([0.07, -0.03, -0.08], [-2.1, 5.47, -3.59])",UpSide
53,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.98]","([-0.0, 0.0, -0.0], [-0.0, 0.0, -0.0])",UpSide
54,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.98]","([0.0, 0.0, 0.0], [-0.0, -0.0, 0.0])",UpSide
55,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.6]","([0.32, -2.08, 0.0], [15.6, 2.41, -0.01])",SideSurface
56,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.1]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
57,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.41]","([0.09, -0.26, -0.15], [2.66, 4.66, -7.52])",UpSide
58,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.2]","([-0.0, 0.0, 0.0], [-0.0, -0.0, -0.0])",SideSurface
59,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.42]","([0.0, 0.0, -0.0], [0.0, 0.0, -0.0])",DownSide
60,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.44]","([-0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",DownSide
61,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.27]","([-1.12, 2.67, 0.0], [-20.09, -8.41, 0.0])",SideSurface
62,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.64]","([-1.41, 2.17, 0.0], [-16.35, -10.59, 0.01])",SideSurface
63,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.33]","([-0.0, -0.0, 0.0], [0.0, -0.0, 0.0])",UpSide
64,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.8]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",DownSide
65,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.18]","([-0.04, -0.03, -0.04], [4.89, -2.92, -3.59])",UpSide
66,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.86]","([0.0, -0.0, -0.0], [0.0, 0.0, -0.0])",UpSide
67,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.72]","([0.17, 1.34, -0.0], [-8.74, 1.08, 4.54])",UpSide
68,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.78]","([1.02, -0.3, -0.01], [2.36, 7.66, 0.0])",SideSurface
69,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.67]","([-0.0, -0.0, 0.0], [0.0, -0.01, 0.0])",UpSide
70,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.52]","([0.0, -0.0, 0.0], [0.0, 0.0, -0.0])",DownSide
71,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.76]","([-1.35, -0.04, -0.01], [0.38, -10.16, -0.0])",SideSurface
72,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 5.49]","([-0.05, -0.01, -0.02], [1.69, -4.3, -1.88])",DownSide
73,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.55]","([0.0, -0.0, 0.0], [0.0, 0.0, -0.0])",DownSide
74,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.76]","([0.0, 0.0, -0.0], [-0.0, -0.0, -0.0])",UpSide
75,0.133,0.1,0.1,0.5,0.5,0.0005,0.002,"[0.0, 0.0, 4.82]","([-1.01, -0.02, 0.0], [0.12, -7.56, 0.0])",SideSurface
